Crop,Disease,Pathogen,Symptoms,Recommended_Medicine,Application_Notes,Severity
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Follow recommended dosage,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Follow recommended dosage,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Repeat every 7-10 days,Mild
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Spray at early stage,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Use preventive spray,Mild
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply after first symptoms,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Use preventive spray,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Use preventive spray,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Repeat every 7-10 days,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply during high humidity,Mild
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply during high humidity,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply during high humidity,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Spray at early stage,Mild
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Repeat every 7-10 days,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply after first symptoms,Mild
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Spray at early stage,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply during high humidity,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Spray at early stage,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply during high humidity,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Repeat every 7-10 days,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Follow recommended dosage,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Follow recommended dosage,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Repeat every 7-10 days,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Repeat every 7-10 days,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply after first symptoms,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Spray at early stage,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply during high humidity,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Use preventive spray,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Spray at early stage,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Use preventive spray,Severe
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Use preventive spray,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply after first symptoms,Moderate
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Apply after first symptoms,Mild
Corn,Southern Rust,Puccinia polysora,Orange pustules,Propiconazole,Follow recommended dosage,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply after first symptoms,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Spray at early stage,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply after first symptoms,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Spray at early stage,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Moderate
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Severe
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Spray at early stage,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Mild
Corn,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply after first symptoms,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply during high humidity,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Spray at early stage,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Use preventive spray,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Follow recommended dosage,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Spray at early stage,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Repeat every 7-10 days,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply after first symptoms,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Follow recommended dosage,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply during high humidity,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply after first symptoms,Moderate
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Spray at early stage,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply during high humidity,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Use preventive spray,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Apply after first symptoms,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Repeat every 7-10 days,Mild
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Repeat every 7-10 days,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Follow recommended dosage,Severe
Corn,Gray Leaf Spot,Cercospora zeae-maydis,Rectangular gray lesions,Mancozeb,Use preventive spray,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Spray at early stage,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Use preventive spray,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply during high humidity,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply during high humidity,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Spray at early stage,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Repeat every 7-10 days,Moderate
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Repeat every 7-10 days,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Spray at early stage,Moderate
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply after first symptoms,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Follow recommended dosage,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Repeat every 7-10 days,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Use preventive spray,Mild
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Follow recommended dosage,Moderate
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply after first symptoms,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply after first symptoms,Moderate
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Use preventive spray,Moderate
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Follow recommended dosage,Severe
Sugarcane,Red Rot,Colletotrichum falcatum,Red internal stalk rot,Carbendazim,Apply during high humidity,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply during high humidity,Mild
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Use preventive spray,Mild
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Use preventive spray,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Spray at early stage,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Repeat every 7-10 days,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Follow recommended dosage,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Follow recommended dosage,Mild
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Spray at early stage,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Use preventive spray,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply after first symptoms,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply during high humidity,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply during high humidity,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Repeat every 7-10 days,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Follow recommended dosage,Moderate
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply after first symptoms,Severe
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Apply after first symptoms,Mild
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Repeat every 7-10 days,Mild
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like growth,Triadimefon,Spray at early stage,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply after first symptoms,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Use preventive spray,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply during high humidity,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Follow recommended dosage,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Use preventive spray,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Spray at early stage,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Spray at early stage,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Repeat every 7-10 days,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Repeat every 7-10 days,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Follow recommended dosage,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply after first symptoms,Severe
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Repeat every 7-10 days,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply during high humidity,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply during high humidity,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Use preventive spray,Mild
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Follow recommended dosage,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Apply after first symptoms,Moderate
Sugarcane,Wilt,Fusarium sacchari,Yellowing and drying,Copper Oxychloride,Spray at early stage,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply during high humidity,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Use preventive spray,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply during high humidity,Severe
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Spray at early stage,Severe
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Follow recommended dosage,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Use preventive spray,Severe
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Use preventive spray,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Repeat every 7-10 days,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Spray at early stage,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply after first symptoms,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply after first symptoms,Severe
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Follow recommended dosage,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply after first symptoms,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Apply during high humidity,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Spray at early stage,Moderate
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Repeat every 7-10 days,Mild
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Follow recommended dosage,Severe
Sugarcane,Leaf Scald,Xanthomonas albilineans,White streaks on leaves,Streptomycin,Repeat every 7-10 days,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Spray at early stage,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Use preventive spray,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply during high humidity,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply after first symptoms,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply during high humidity,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Follow recommended dosage,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Repeat every 7-10 days,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Use preventive spray,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply during high humidity,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply after first symptoms,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Follow recommended dosage,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Use preventive spray,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Spray at early stage,Moderate
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Spray at early stage,Severe
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Repeat every 7-10 days,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Follow recommended dosage,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Apply after first symptoms,Mild
Sugarcane,Grassy Shoot,Phytoplasma,Bushy grassy growth,Imidacloprid,Repeat every 7-10 days,Severe
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Use preventive spray,Mild
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Use preventive spray,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Repeat every 7-10 days,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Spray at early stage,Severe
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Spray at early stage,Mild
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Repeat every 7-10 days,Severe
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Apply during high humidity,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Follow recommended dosage,Severe
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Repeat every 7-10 days,Mild
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Apply during high humidity,Mild
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Follow recommended dosage,Mild
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Use preventive spray,Severe
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Spray at early stage,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Follow recommended dosage,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond-shaped lesions,Tricyclazole,Apply during high humidity,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Apply during high humidity,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Spray at early stage,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Repeat every 7-10 days,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Follow recommended dosage,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Spray at early stage,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Spray at early stage,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Follow recommended dosage,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Repeat every 7-10 days,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Apply during high humidity,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Repeat every 7-10 days,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Follow recommended dosage,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Use preventive spray,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Use preventive spray,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Use preventive spray,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval sheath lesions,Validamycin,Apply during high humidity,Severe
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Use preventive spray,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Repeat every 7-10 days,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Use preventive spray,Severe
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Repeat every 7-10 days,Mild
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Use preventive spray,Severe
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Apply during high humidity,Severe
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Follow recommended dosage,Moderate
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Use preventive spray,Moderate
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Follow recommended dosage,Severe
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Spray at early stage,Mild
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Repeat every 7-10 days,Severe
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Apply during high humidity,Mild
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Follow recommended dosage,Mild
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Use preventive spray,Mild
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Apply during high humidity,Moderate
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Spray at early stage,Moderate
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Repeat every 7-10 days,Moderate
Wheat,Stripe Rust,Puccinia striiformis,Yellow stripes on leaves,Propiconazole,Spray at early stage,Severe
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Repeat every 7-10 days,Severe
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Apply during high humidity,Mild
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Follow recommended dosage,Severe
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Repeat every 7-10 days,Mild
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Use preventive spray,Severe
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Spray at early stage,Mild
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Apply during high humidity,Moderate
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Follow recommended dosage,Moderate
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Follow recommended dosage,Mild
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Apply during high humidity,Severe
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Spray at early stage,Moderate
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Repeat every 7-10 days,Moderate
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Use preventive spray,Moderate
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Use preventive spray,Mild
Wheat,Leaf Rust,Puccinia triticina,Orange pustules,Tebuconazole,Spray at early stage,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Follow recommended dosage,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Apply during high humidity,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Spray at early stage,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Apply during high humidity,Mild
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Use preventive spray,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Follow recommended dosage,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Repeat every 7-10 days,Mild
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Use preventive spray,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Repeat every 7-10 days,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Follow recommended dosage,Severe
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Use preventive spray,Severe
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Follow recommended dosage,Mild
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Apply during high humidity,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Repeat every 7-10 days,Severe
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Apply during high humidity,Severe
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Spray at early stage,Moderate
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Spray at early stage,Mild
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Use preventive spray,Mild
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Spray at early stage,Severe
Cotton,Boll Rot,Fusarium spp.,Rotting bolls,Carbendazim,Apply during high humidity,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Follow recommended dosage,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Spray at early stage,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Follow recommended dosage,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Spray at early stage,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Follow recommended dosage,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Use preventive spray,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Apply during high humidity,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Use preventive spray,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Apply during high humidity,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Use preventive spray,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Spray at early stage,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular leaf spots,Copper Oxychloride,Apply during high humidity,Moderate
